i,q,expected_law,expected_article,hit_at_4,answer,seconds
11,في التعاقد عن بعد (أونلاين)، كام يوم أقدر أرجع في العقد؟,cpl,40.0,True,وفقًا للمادة 40 من قانون حماية المستهلك 181 لسنة 2018، يحق للمستهلك الذي يتعاقد عن بعد الرجوع في العقد خلال أربعة عشر يوما من استلامه السلعة.,7.0
12,مين المسؤول لو حصل ضرر بسبب عيب تصنيع في المنتج؟,cpl,27.0,True,"وفقًا للمادة 27 من قانون حماية المستهلك 181 لسنة 2018، يكون المنتج مسئولا عن كل ضرر يلحقه المنتج أو يحدثه إذا ثبت أن الضرر نشأ بسبب عيب في المنتج يرجع إلى تصميمه أو صنعه أو تركيبه.

لذا، إذا حصل ضرر بسبب عيب تصنيع في المنتج، يكون المنتج مسئولا عن هذا الضرر.",11.7
13,كم مدة الراحة الأسبوعية للعامل؟,labor,120.0,True,المادة 120 من قانون العمل 14 لسنة 2025 تنص على أن الراحة الأسبوعية للعامل لا تقل عن أربع وعشرين ساعة كاملة بعد ستة أيام عمل متصلة على الأكثر، ويجب أن تكون مدفوعة الأجر.,7.4
14,إيه الحد الأقصى لساعات العمل في اليوم؟,labor,119.0,True,وفقًا للمادة 117 من قانون العمل 14 لسنة 2025، الحد الأقصى لساعات العمل في اليوم هو ثمانية ساعات، مع استثناءات محددة تحدد بقرار من الوزير المختص.,6.8
15,متى يعتبر عقد العمل محدد المدة عقد غير محدد المدة؟,labor,88.0,True,"المادة 88 من قانون العمل 14 لسنة 2025 تحدد الحالات التي يعتبر فيها عقد العمل غير محدد المدة. لذا، إذا كان عقد العمل محدد المدة وتم استمرار تنفيذه بعد انتهاء مدته دون اتفاق مكتوب بين الطرفين، 则继续翻译为： 
إذا كان عقد العمل محدد المدة وتم استمرار تنفيذه بعد انتهاء مدته دون اتفاق مكتوب بين الطرفين، يعتبر عقد العمل غير محدد المدة.

النص باللغة العربية:
يعتبر عقد العمل غير محدد المدة إذا كان مبرمًا لمدة محددة واستمر الطرفان في تنفيذه بعد انتهاء هذه المدة دون اتفاق مكتوب بينهما.",18.7
16,هل المنشآت لازم توفر حضانة للعاملين؟,labor,60.0,True,نعم، المنشآت ملزمة بتوفير حضانة للعاملات إذا كانت تستخدم مائة عاملة فأكثر في مكان واحد، وفقًا للمادة 60 من قانون العمل 14 لسنة 2025.,6.6
17,إيه هي حالات فصل العامل بدون إخطار أو مكافأة؟,labor,,,"وفقاً للمادة 148 من قانون العمل 14 لسنة 2025، لا يجوز فصل العامل إلا إذا ارتكب خطأ جسيمًا، ويشمل ذلك الحالات الآتية:

1- إذا ثبت انتحال العامل شخصية غير صحيحة أو قدم مستندات مزورة.
2- إذا ثبت ارتكاب العامل لخطأ نشأت عنه أضرار جسيمة لصاحب العمل، بشرط أن يبلغ صاحب العمل الجهات المختصة بالواقعة، أو الحادث خلال أربع وعشرين ساعة من وقت علمه بوقوعه.
3- إذا ثبت تكرار عدم مراعاة العامل التعليمات اللازم اتباعها لسلامة العمال، أو المنشأة، بشرط أن تكون هذه التعليمات مكتوبة، ومعلنة في مكان ظاهر، رغم التنبيه عليه كتابة بمراعاة ذلك.
4- إذا ثبت أن العامل أفشى أسرار المنشأة التي يعمل بها، وأدى ذلك إلى إحداث أضرار جسيمة بالمنشأة.
5- إذا ثبت قيام العامل بمنافسة صاحب العمل في ذات النشاط.
6- إذا ثبت وجود العامل في حالة سكر بين أو متأثر بما تعاطاه من مادة مخدرة أثناء ساعات العمل.
7- إذا ثبت اعتداء العامل على صاحب العمل، أو المدير العام، وكذلك إذا وقع منه اعتداء جسيم على أحد رؤسائه أثناء العمل، أو بسببه.

في جميع الأحوال، لا يجوز الفصل من الخدمة إلا وفقًا لأحكام هذا القانون.",38.7
18,إزاي بتتم المفاوضة الجماعية بين العمال وأصحاب الأعمال؟,labor,194.0,True,تتم المفاوضة الجماعية بين العمال وأصحاب الأعمال وفقًا لأحكام المواد 194 و195 من قانون العمل 14 لسنة 2025. وفقًا لهذه المواد، تجرى المفاوضة الجماعية بحرية وطواعية في إطار من التوازن بين مصالح طرفيها، بهدف تحسين شروط وظروف العمل وأحكام التشغيل، والتعاون لتحقيق التنمية الاجتماعية. كما أن المفاوضة الجماعية تكون على مستوى المنشأة أو فروعها، أو المهنة، أو الصناعة، أو المستوى الإقليمي، أو المستوى القومي.,14.1
19,إزاي أعمل كشري بالبيت؟,,,,هذا السؤال خارج نطاق القوانين المتاحة في النظام.,0.3
20,إيه عقوبة القتل العمد في القانون المصري؟,,,,المعلومات المتاحة في النصوص المرفقة غير كافية للإجابة على هذا السؤال.,3.5
